City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,anadyr,64.75,177.4833,-25.56,83,100,14.0,RU,1678031208
213,hoquiam,46.9809,-123.8893,2.23,92,0,2.06,US,1678031208
214,clyde river,70.4692,-68.5914,-15.87,85,100,2.57,CA,1678031208
215,celestun,20.8667,-90.4,27.91,62,46,2.98,MX,1678031209
216,khvoynaya,58.9,34.5333,-5.3,98,100,1.04,RU,1678031209
217,sheridan,44.8333,-106.9173,-1.49,68,100,7.72,US,1678031209
218,smithers,54.7804,-127.1743,-11.82,52,20,2.57,CA,1678031117
219,sisimiut,66.9395,-53.6735,1.52,69,71,5.72,GL,1678031210
220,poronaysk,49.2167,143.1167,-2.52,76,20,3.11,RU,1678031210
221,nivala,63.9167,24.9667,-8.63,95,98,2.14,FI,1678031211
222,nemyriv,48.9708,28.8378,1.89,47,9,2.91,UA,1678031211
223,dourbali,11.8091,15.8632,39.96,6,34,6.26,TD,1678031212
224,ilongero,-4.6667,34.8667,19.08,75,100,0.46,TZ,1678031212
225,villazon,-22.0866,-65.5942,16.72,47,97,3.89,BO,1678031212
226,niort,46.3333,-0.3333,9.54,60,6,1.79,FR,1678031213
227,quatre cocos,-20.2078,57.7625,26.16,88,100,5.23,MU,1678031213
228,nioki,-2.7167,17.6833,33.05,43,100,2.84,CD,1678031213
229,santa rosa,14.3122,121.1114,25.06,75,1,5.54,PH,1678031163
230,victoria,22.2855,114.1577,20.21,73,0,4.47,HK,1678031163
231,norman wells,65.282,-126.8329,-37.98,67,20,0.0,CA,1678031214
232,rawicz,51.6095,16.8585,2.74,70,100,5.09,PL,1678031214
233,zhigansk,66.7697,123.3711,-17.94,95,100,3.79,RU,1678031215
234,karlstad,59.3793,13.5036,2.31,32,7,5.66,SE,1678031215
235,kahului,20.8947,-156.47,19.91,93,22,0.45,US,1678031215
236,trat,12.5,102.5,26.6,81,0,1.3,TH,1678031216
237,asau,46.4333,26.4,5.71,69,51,0.55,RO,1678031216
238,praia da vitoria,38.7333,-27.0667,18.14,68,40,7.33,PT,1678031216
239,birin,26.8865,88.0718,14.82,52,46,2.17,NP,1678031217
240,faanui,-16.4833,-151.75,28.47,72,100,7.16,PF,1678031217
241,morbegno,46.1383,9.57,14.99,47,8,1.44,IT,1678031217
242,orbetello,42.4408,11.2196,15.01,67,6,1.94,IT,1678031218
243,kidal,18.4411,1.4078,35.42,7,97,8.36,ML,1678031218
244,sola,-13.8833,167.55,26.24,81,100,12.59,VU,1678031218
245,pucallpa,-8.3791,-74.5539,27.02,83,75,3.6,PE,1678031219
246,maine-soroa,13.2114,12.0241,38.3,7,1,7.02,NE,1678031219
247,siniscola,40.5719,9.6922,14.75,62,11,5.03,IT,1678031221
248,isiro,2.7739,27.616,27.98,43,98,0.56,CD,1678031222
249,saurimo,-9.6608,20.3916,20.71,88,99,1.55,AO,1678031222
250,saldanha,-33.0117,17.9442,21.03,82,15,3.88,ZA,1678031223
251,chuy,-33.6971,-53.4616,27.28,57,41,4.23,UY,1678031223
252,povenets,62.8487,34.8262,-13.7,97,92,2.49,RU,1678031224
253,north bend,43.4065,-124.2243,1.95,95,100,0.0,US,1678031224
254,kasamwa,-2.85,32.4333,23.37,67,94,1.25,TZ,1678031225
255,constitucion,-35.3333,-72.4167,21.85,46,0,3.61,CL,1678031086
256,jimenez,28.3333,-105.4,18.03,14,1,2.12,MX,1678031226
257,la ronge,55.1001,-105.2842,-23.86,70,20,4.63,CA,1678031226
258,antofagasta,-23.65,-70.4,23.6,71,31,3.73,CL,1678031226
259,baykit,61.67,96.37,-25.25,100,83,0.6,RU,1678031227
260,klaksvik,62.2266,-6.589,2.51,93,100,11.78,FO,1678031227
261,puerto carreno,6.189,-67.4859,31.99,48,77,2.06,CO,1678031228
262,baoqing,46.3317,132.2111,1.22,75,64,4.42,CN,1678031228
263,tual,-5.6667,132.75,27.37,79,100,8.67,ID,1678031228
264,pandan,14.0453,124.1694,24.03,85,100,8.03,PH,1678031229
265,sechura,-5.5569,-80.8222,28.36,58,46,2.05,PE,1678031229
266,rocha,-34.4833,-54.3333,28.96,44,21,4.88,UY,1678031126
267,ribeira grande,38.5167,-28.7,15.43,77,40,9.77,PT,1678031230
268,tuatapere,-46.1333,167.6833,5.37,95,13,2.18,NZ,1678031230
269,awbari,26.5921,12.7805,21.83,11,0,4.38,LY,1678031231
270,tautira,-17.7333,-149.15,26.43,84,99,6.74,PF,1678031231
271,buchanan,5.8808,-10.0467,29.39,70,62,4.41,LR,1678031231
272,necochea,-38.5473,-58.7368,30.32,33,0,2.99,AR,1678031232
273,saskylakh,71.9167,114.0833,-28.58,99,100,2.03,RU,1678031232
274,biak,-0.9131,122.8766,24.83,76,98,2.17,ID,1678031233
275,salalah,17.0151,54.0924,27.05,61,0,1.54,OM,1678031233
276,pathein,16.7833,94.7333,23.13,66,0,2.55,MM,1678031233
277,iqaluit,63.7506,-68.5145,-5.15,85,100,12.35,CA,1678031234
278,atascocita,29.9988,-95.1766,22.16,71,0,1.34,US,1678031234
279,honningsvag,70.9821,25.9704,-6.14,63,75,6.17,NO,1678031234
280,ocos,14.5094,-92.1933,27.52,65,5,2.29,GT,1678031235
281,prainha,-1.8,-53.48,29.15,70,80,1.51,BR,1678031235
